Date;Time;NMHC(GT)
10.03.2004;18.00.00;150
10.03.2004;19.00.00;112
10.03.2004;20.00.00;88
10.03.2004;21.00.00;80
10.03.2004;22.00.00;51
10.03.2004;23.00.00;38
11.03.2004;00.00.00;31
11.03.2004;01.00.00;31
11.03.2004;02.00.00;24
11.03.2004;03.00.00;19
11.03.2004;04.00.00;14
11.03.2004;05.00.00;8
11.03.2004;06.00.00;16
11.03.2004;07.00.00;29
11.03.2004;08.00.00;64
11.03.2004;09.00.00;87
11.03.2004;10.00.00;77
11.03.2004;11.00.00;43
11.03.2004;12.00.00;61
11.03.2004;13.00.00;63
11.03.2004;14.00.00;164
11.03.2004;15.00.00;79
11.03.2004;16.00.00;95
11.03.2004;17.00.00;150
11.03.2004;18.00.00;307
11.03.2004;19.00.00;461
11.03.2004;20.00.00;401
11.03.2004;21.00.00;197
11.03.2004;22.00.00;61
11.03.2004;23.00.00;26
12.03.2004;00.00.00;55
12.03.2004;01.00.00;53
12.03.2004;02.00.00;40
12.03.2004;03.00.00;21
12.03.2004;04.00.00;10
12.03.2004;05.00.00;7
12.03.2004;06.00.00;17
12.03.2004;07.00.00;33
12.03.2004;08.00.00;202
12.03.2004;09.00.00;-200
12.03.2004;10.00.00;208
12.03.2004;11.00.00;166
12.03.2004;12.00.00;114
12.03.2004;13.00.00;140
12.03.2004;14.00.00;169
12.03.2004;15.00.00;185
12.03.2004;16.00.00;165
12.03.2004;17.00.00;133
12.03.2004;18.00.00;233
12.03.2004;19.00.00;242
12.03.2004;20.00.00;488
12.03.2004;21.00.00;333
12.03.2004;22.00.00;215
12.03.2004;23.00.00;367
13.03.2004;00.00.00;122
13.03.2004;01.00.00;67
13.03.2004;02.00.00;43
13.03.2004;03.00.00;46
13.03.2004;04.00.00;56
13.03.2004;05.00.00;30
13.03.2004;06.00.00;27
13.03.2004;07.00.00;47
13.03.2004;08.00.00;132
13.03.2004;09.00.00;239
13.03.2004;10.00.00;160
13.03.2004;11.00.00;283
13.03.2004;12.00.00;210
13.03.2004;13.00.00;154
13.03.2004;14.00.00;112
13.03.2004;15.00.00;108
13.03.2004;16.00.00;111
13.03.2004;17.00.00;97
13.03.2004;18.00.00;191
13.03.2004;19.00.00;258
13.03.2004;20.00.00;284
13.03.2004;21.00.00;269
13.03.2004;22.00.00;180
13.03.2004;23.00.00;116
14.03.2004;00.00.00;93
14.03.2004;01.00.00;131
14.03.2004;02.00.00;92
14.03.2004;03.00.00;132
14.03.2004;04.00.00;56
14.03.2004;05.00.00;32
14.03.2004;06.00.00;29
14.03.2004;07.00.00;27
14.03.2004;08.00.00;36
14.03.2004;09.00.00;57
14.03.2004;10.00.00;129
14.03.2004;11.00.00;148
14.03.2004;12.00.00;145
14.03.2004;13.00.00;93
14.03.2004;14.00.00;84
14.03.2004;15.00.00;99
14.03.2004;16.00.00;150
14.03.2004;17.00.00;156
14.03.2004;18.00.00;122
14.03.2004;19.00.00;262
14.03.2004;20.00.00;341
14.03.2004;21.00.00;214
14.03.2004;22.00.00;100
14.03.2004;23.00.00;79
15.03.2004;00.00.00;66
15.03.2004;01.00.00;73
15.03.2004;02.00.00;66
15.03.2004;03.00.00;44
15.03.2004;04.00.00;44
15.03.2004;05.00.00;39
15.03.2004;06.00.00;51
15.03.2004;07.00.00;107
15.03.2004;08.00.00;336
15.03.2004;09.00.00;618
15.03.2004;10.00.00;438
15.03.2004;11.00.00;334
15.03.2004;12.00.00;221
15.03.2004;13.00.00;207
15.03.2004;14.00.00;191
15.03.2004;15.00.00;185
15.03.2004;16.00.00;141
15.03.2004;17.00.00;214
15.03.2004;18.00.00;471
15.03.2004;19.00.00;685
15.03.2004;20.00.00;538
15.03.2004;21.00.00;319
15.03.2004;22.00.00;224
15.03.2004;23.00.00;67
16.03.2004;00.00.00;155
16.03.2004;01.00.00;49
16.03.2004;02.00.00;29
16.03.2004;03.00.00;25
16.03.2004;04.00.00;25
16.03.2004;05.00.00;17
16.03.2004;06.00.00;27
16.03.2004;07.00.00;50
16.03.2004;08.00.00;218
16.03.2004;09.00.00;285
16.03.2004;10.00.00;437
16.03.2004;11.00.00;327
16.03.2004;12.00.00;283
16.03.2004;13.00.00;366
16.03.2004;14.00.00;318
16.03.2004;15.00.00;228
16.03.2004;16.00.00;201
16.03.2004;17.00.00;199
16.03.2004;18.00.00;237
16.03.2004;19.00.00;261
16.03.2004;20.00.00;230
16.03.2004;21.00.00;349
16.03.2004;22.00.00;183
16.03.2004;23.00.00;88
17.03.2004;00.00.00;85
17.03.2004;01.00.00;47
17.03.2004;02.00.00;34
17.03.2004;03.00.00;26
17.03.2004;04.00.00;17
17.03.2004;05.00.00;11
17.03.2004;06.00.00;18
17.03.2004;07.00.00;84
17.03.2004;08.00.00;260
17.03.2004;09.00.00;534
17.03.2004;10.00.00;368
17.03.2004;11.00.00;200
17.03.2004;12.00.00;145
17.03.2004;13.00.00;188
17.03.2004;14.00.00;152
17.03.2004;15.00.00;103
17.03.2004;16.00.00;193
17.03.2004;17.00.00;134
17.03.2004;18.00.00;386
17.03.2004;19.00.00;577
17.03.2004;20.00.00;523
17.03.2004;21.00.00;472
17.03.2004;22.00.00;206
17.03.2004;23.00.00;216
18.03.2004;00.00.00;159
18.03.2004;01.00.00;70
18.03.2004;02.00.00;44
18.03.2004;03.00.00;42
18.03.2004;04.00.00;28
18.03.2004;05.00.00;20
18.03.2004;06.00.00;26
18.03.2004;07.00.00;78
18.03.2004;08.00.00;319
18.03.2004;09.00.00;506
18.03.2004;10.00.00;-200
18.03.2004;11.00.00;-200
18.03.2004;12.00.00;-200
18.03.2004;13.00.00;-200
18.03.2004;14.00.00;-200
18.03.2004;15.00.00;-200
18.03.2004;16.00.00;-200
18.03.2004;17.00.00;-200
18.03.2004;18.00.00;-200
18.03.2004;19.00.00;-200
18.03.2004;20.00.00;-200
18.03.2004;21.00.00;-200
18.03.2004;22.00.00;-200
18.03.2004;23.00.00;-200
19.03.2004;00.00.00;-200
19.03.2004;01.00.00;-200
19.03.2004;02.00.00;-200
19.03.2004;03.00.00;-200
19.03.2004;04.00.00;-200
19.03.2004;05.00.00;-200
19.03.2004;06.00.00;-200
19.03.2004;07.00.00;-200
19.03.2004;08.00.00;-200
19.03.2004;09.00.00;-200
19.03.2004;10.00.00;-200
19.03.2004;11.00.00;-200
19.03.2004;12.00.00;-200
19.03.2004;13.00.00;-200
19.03.2004;14.00.00;-200
19.03.2004;15.00.00;-200
19.03.2004;16.00.00;-200
19.03.2004;17.00.00;-200
19.03.2004;18.00.00;-200
19.03.2004;19.00.00;-200
19.03.2004;20.00.00;-200
19.03.2004;21.00.00;-200
19.03.2004;22.00.00;-200
19.03.2004;23.00.00;-200
20.03.2004;00.00.00;-200
20.03.2004;01.00.00;-200
20.03.2004;02.00.00;-200
20.03.2004;03.00.00;-200
20.03.2004;04.00.00;-200
20.03.2004;05.00.00;-200
20.03.2004;06.00.00;-200
20.03.2004;07.00.00;-200
20.03.2004;08.00.00;-200
20.03.2004;09.00.00;-200
20.03.2004;10.00.00;-200
20.03.2004;11.00.00;-200
20.03.2004;12.00.00;-200
20.03.2004;13.00.00;-200
20.03.2004;14.00.00;-200
20.03.2004;15.00.00;-200
20.03.2004;16.00.00;-200
20.03.2004;17.00.00;-200
20.03.2004;18.00.00;-200
20.03.2004;19.00.00;-200
20.03.2004;20.00.00;-200
20.03.2004;21.00.00;-200
20.03.2004;22.00.00;-200
20.03.2004;23.00.00;-200
21.03.2004;00.00.00;-200
21.03.2004;01.00.00;-200
21.03.2004;02.00.00;-200
21.03.2004;03.00.00;-200
21.03.2004;04.00.00;-200
21.03.2004;05.00.00;-200
21.03.2004;06.00.00;-200
21.03.2004;07.00.00;-200
21.03.2004;08.00.00;-200
21.03.2004;09.00.00;-200
21.03.2004;10.00.00;-200
21.03.2004;11.00.00;-200
21.03.2004;12.00.00;-200
21.03.2004;13.00.00;-200
21.03.2004;14.00.00;-200
21.03.2004;15.00.00;-200
21.03.2004;16.00.00;-200
21.03.2004;17.00.00;-200
21.03.2004;18.00.00;-200
21.03.2004;19.00.00;-200
21.03.2004;20.00.00;-200
21.03.2004;21.00.00;-200
21.03.2004;22.00.00;-200
21.03.2004;23.00.00;-200
22.03.2004;00.00.00;-200
22.03.2004;01.00.00;-200
22.03.2004;02.00.00;-200
22.03.2004;03.00.00;-200
22.03.2004;04.00.00;-200
22.03.2004;05.00.00;-200
22.03.2004;06.00.00;-200
22.03.2004;07.00.00;-200
22.03.2004;08.00.00;-200
22.03.2004;09.00.00;-200
22.03.2004;10.00.00;-200
22.03.2004;11.00.00;-200
22.03.2004;12.00.00;-200
22.03.2004;13.00.00;-200
22.03.2004;14.00.00;-200
22.03.2004;15.00.00;-200
22.03.2004;16.00.00;451
22.03.2004;17.00.00;185
22.03.2004;18.00.00;426
22.03.2004;19.00.00;672
22.03.2004;20.00.00;624
22.03.2004;21.00.00;325
22.03.2004;22.00.00;143
22.03.2004;23.00.00;89
23.03.2004;00.00.00;73
23.03.2004;01.00.00;48
23.03.2004;02.00.00;47
23.03.2004;03.00.00;36
23.03.2004;04.00.00;25
23.03.2004;05.00.00;19
23.03.2004;06.00.00;26
23.03.2004;07.00.00;60
23.03.2004;08.00.00;248
23.03.2004;09.00.00;535
23.03.2004;10.00.00;340
23.03.2004;11.00.00;325
23.03.2004;12.00.00;267
23.03.2004;13.00.00;325
23.03.2004;14.00.00;268
23.03.2004;15.00.00;136
23.03.2004;16.00.00;118
23.03.2004;17.00.00;276
23.03.2004;18.00.00;151
23.03.2004;19.00.00;236
23.03.2004;20.00.00;220
23.03.2004;21.00.00;87
23.03.2004;22.00.00;81
23.03.2004;23.00.00;74
24.03.2004;00.00.00;55
24.03.2004;01.00.00;74
24.03.2004;02.00.00;35
24.03.2004;03.00.00;29
24.03.2004;04.00.00;29
24.03.2004;05.00.00;20
24.03.2004;06.00.00;32
24.03.2004;07.00.00;84
24.03.2004;08.00.00;245
24.03.2004;09.00.00;553
24.03.2004;10.00.00;450
24.03.2004;11.00.00;118
24.03.2004;12.00.00;118
24.03.2004;13.00.00;144
24.03.2004;14.00.00;159
24.03.2004;15.00.00;122
24.03.2004;16.00.00;230
24.03.2004;17.00.00;320
24.03.2004;18.00.00;263
24.03.2004;19.00.00;556
24.03.2004;20.00.00;458
24.03.2004;21.00.00;214
24.03.2004;22.00.00;97
24.03.2004;23.00.00;79
25.03.2004;00.00.00;81
25.03.2004;01.00.00;52
25.03.2004;02.00.00;38
25.03.2004;03.00.00;35
25.03.2004;04.00.00;29
25.03.2004;05.00.00;21
25.03.2004;06.00.00;46
25.03.2004;07.00.00;55
25.03.2004;08.00.00;271
25.03.2004;09.00.00;434
25.03.2004;10.00.00;300
25.03.2004;11.00.00;116
25.03.2004;12.00.00;95
25.03.2004;13.00.00;211
25.03.2004;14.00.00;168
25.03.2004;15.00.00;154
25.03.2004;16.00.00;267
25.03.2004;17.00.00;143
25.03.2004;18.00.00;374
25.03.2004;19.00.00;797
25.03.2004;20.00.00;698
25.03.2004;21.00.00;234
25.03.2004;22.00.00;104
25.03.2004;23.00.00;67
26.03.2004;00.00.00;88
26.03.2004;01.00.00;79
26.03.2004;02.00.00;61
26.03.2004;03.00.00;43
26.03.2004;04.00.00;40
26.03.2004;05.00.00;52
26.03.2004;06.00.00;64
26.03.2004;07.00.00;88
26.03.2004;08.00.00;375
26.03.2004;09.00.00;592
26.03.2004;10.00.00;357
26.03.2004;11.00.00;296
26.03.2004;12.00.00;181
26.03.2004;13.00.00;211
26.03.2004;14.00.00;199
26.03.2004;15.00.00;81
26.03.2004;16.00.00;143
26.03.2004;17.00.00;247
26.03.2004;18.00.00;239
26.03.2004;19.00.00;267
26.03.2004;20.00.00;261
26.03.2004;21.00.00;97
26.03.2004;22.00.00;66
26.03.2004;23.00.00;60
27.03.2004;00.00.00;77
27.03.2004;01.00.00;57
27.03.2004;02.00.00;65
27.03.2004;03.00.00;59
27.03.2004;04.00.00;48
27.03.2004;05.00.00;27
27.03.2004;06.00.00;25
27.03.2004;07.00.00;42
27.03.2004;08.00.00;78
27.03.2004;09.00.00;128
27.03.2004;10.00.00;184
27.03.2004;11.00.00;156
27.03.2004;12.00.00;176
27.03.2004;13.00.00;232
27.03.2004;14.00.00;305
27.03.2004;15.00.00;150
27.03.2004;16.00.00;188
27.03.2004;17.00.00;221
27.03.2004;18.00.00;219
27.03.2004;19.00.00;306
27.03.2004;20.00.00;270
