Date;Time;NO2(GT);PT08.S4(NO2)
10.03.2004;18.00.00;113;1692
10.03.2004;19.00.00;92;1559
10.03.2004;20.00.00;114;1555
10.03.2004;21.00.00;122;1584
10.03.2004;22.00.00;116;1490
10.03.2004;23.00.00;96;1393
11.03.2004;00.00.00;77;1333
11.03.2004;01.00.00;76;1333
11.03.2004;02.00.00;60;1276
11.03.2004;03.00.00;-200;1235
11.03.2004;04.00.00;34;1197
11.03.2004;05.00.00;28;1182
11.03.2004;06.00.00;48;1221
11.03.2004;07.00.00;82;1339
11.03.2004;08.00.00;112;1517
11.03.2004;09.00.00;101;1583
11.03.2004;10.00.00;98;1446
11.03.2004;11.00.00;92;1362
11.03.2004;12.00.00;95;1401
11.03.2004;13.00.00;112;1537
11.03.2004;14.00.00;128;1730
11.03.2004;15.00.00;126;1647
11.03.2004;16.00.00;131;1591
11.03.2004;17.00.00;135;1719
11.03.2004;18.00.00;151;2083
11.03.2004;19.00.00;172;2333
11.03.2004;20.00.00;165;2191
11.03.2004;21.00.00;136;1707
11.03.2004;22.00.00;85;1333
11.03.2004;23.00.00;53;1252
12.03.2004;00.00.00;97;1375
12.03.2004;01.00.00;110;1378
12.03.2004;02.00.00;91;1304
12.03.2004;03.00.00;-200;1187
12.03.2004;04.00.00;32;1134
12.03.2004;05.00.00;44;1155
12.03.2004;06.00.00;71;1223
12.03.2004;07.00.00;104;1361
12.03.2004;08.00.00;141;1900
12.03.2004;09.00.00;-200;2058
12.03.2004;10.00.00;122;1712
12.03.2004;11.00.00;143;1598
12.03.2004;12.00.00;113;1537
12.03.2004;13.00.00;116;1593
12.03.2004;14.00.00;123;1660
12.03.2004;15.00.00;126;1740
12.03.2004;16.00.00;120;1657
12.03.2004;17.00.00;119;1610
12.03.2004;18.00.00;149;1910
12.03.2004;19.00.00;145;1847
12.03.2004;20.00.00;170;2390
12.03.2004;21.00.00;149;1941
12.03.2004;22.00.00;139;1723
12.03.2004;23.00.00;134;2062
13.03.2004;00.00.00;113;1544
13.03.2004;01.00.00;97;1463
13.03.2004;02.00.00;82;1365
13.03.2004;03.00.00;-200;1380
13.03.2004;04.00.00;83;1412
13.03.2004;05.00.00;65;1274
13.03.2004;06.00.00;60;1268
13.03.2004;07.00.00;77;1409
13.03.2004;08.00.00;96;1678
13.03.2004;09.00.00;119;1777
13.03.2004;10.00.00;126;1667
13.03.2004;11.00.00;158;1780
13.03.2004;12.00.00;161;1679
13.03.2004;13.00.00;124;1600
13.03.2004;14.00.00;102;1488
13.03.2004;15.00.00;116;1532
13.03.2004;16.00.00;124;1554
13.03.2004;17.00.00;125;1602
13.03.2004;18.00.00;148;1779
13.03.2004;19.00.00;165;1922
13.03.2004;20.00.00;161;1915
13.03.2004;21.00.00;159;1860
13.03.2004;22.00.00;143;1748
13.03.2004;23.00.00;130;1603
14.03.2004;00.00.00;129;1611
14.03.2004;01.00.00;119;1624
14.03.2004;02.00.00;104;1543
