Date;Time;NOx(GT);PT08.S3(NOx)
10.03.2004;18.00.00;166;1056
10.03.2004;19.00.00;103;1174
10.03.2004;20.00.00;131;1140
10.03.2004;21.00.00;172;1092
10.03.2004;22.00.00;131;1205
10.03.2004;23.00.00;89;1337
11.03.2004;00.00.00;62;1462
11.03.2004;01.00.00;62;1453
11.03.2004;02.00.00;45;1579
11.03.2004;03.00.00;-200;1705
11.03.2004;04.00.00;21;1818
11.03.2004;05.00.00;16;1918
11.03.2004;06.00.00;34;1738
11.03.2004;07.00.00;98;1490
11.03.2004;08.00.00;174;1136
11.03.2004;09.00.00;129;1079
11.03.2004;10.00.00;112;1218
11.03.2004;11.00.00;95;1328
11.03.2004;12.00.00;104;1301
11.03.2004;13.00.00;146;1162
11.03.2004;14.00.00;207;983
11.03.2004;15.00.00;184;1082
11.03.2004;16.00.00;193;1103
11.03.2004;17.00.00;243;1008
11.03.2004;18.00.00;281;799
11.03.2004;19.00.00;383;702
11.03.2004;20.00.00;351;743
11.03.2004;21.00.00;240;957
11.03.2004;22.00.00;94;1325
11.03.2004;23.00.00;47;1565
12.03.2004;00.00.00;122;1254
12.03.2004;01.00.00;133;1247
12.03.2004;02.00.00;82;1396
12.03.2004;03.00.00;-200;1680
12.03.2004;04.00.00;21;1893
12.03.2004;05.00.00;30;1895
12.03.2004;06.00.00;56;1685
12.03.2004;07.00.00;109;1387
12.03.2004;08.00.00;307;897
12.03.2004;09.00.00;-200;767
12.03.2004;10.00.00;187;912
12.03.2004;11.00.00;216;969
12.03.2004;12.00.00;143;1035
12.03.2004;13.00.00;160;1008
12.03.2004;14.00.00;163;949
12.03.2004;15.00.00;190;922
12.03.2004;16.00.00;178;954
12.03.2004;17.00.00;150;1006
12.03.2004;18.00.00;206;812
12.03.2004;19.00.00;202;821
12.03.2004;20.00.00;340;624
12.03.2004;21.00.00;274;752
12.03.2004;22.00.00;253;839
12.03.2004;23.00.00;300;741
13.03.2004;00.00.00;193;963
13.03.2004;01.00.00;139;1071
13.03.2004;02.00.00;83;1176
13.03.2004;03.00.00;-200;1179
13.03.2004;04.00.00;109;1132
13.03.2004;05.00.00;62;1420
13.03.2004;06.00.00;53;1406
13.03.2004;07.00.00;139;1228
13.03.2004;08.00.00;256;935
13.03.2004;09.00.00;295;830
13.03.2004;10.00.00;250;869
13.03.2004;11.00.00;296;808
13.03.2004;12.00.00;239;875
13.03.2004;13.00.00;153;987
13.03.2004;14.00.00;118;1088
13.03.2004;15.00.00;119;1049
13.03.2004;16.00.00;138;1004
13.03.2004;17.00.00;148;976
13.03.2004;18.00.00;227;831
13.03.2004;19.00.00;277;758
13.03.2004;20.00.00;279;754
13.03.2004;21.00.00;283;762
13.03.2004;22.00.00;214;844
13.03.2004;23.00.00;172;892
14.03.2004;00.00.00;190;889
14.03.2004;01.00.00;174;880
14.03.2004;02.00.00;128;953
14.03.2004;03.00.00;-200;921
14.03.2004;04.00.00;70;1130
14.03.2004;05.00.00;53;1272
14.03.2004;06.00.00;44;1395
14.03.2004;07.00.00;74;1384
14.03.2004;08.00.00;101;1225
14.03.2004;09.00.00;118;1055
14.03.2004;10.00.00;144;952
14.03.2004;11.00.00;176;878
14.03.2004;12.00.00;161;907
14.03.2004;13.00.00;113;1084
14.03.2004;14.00.00;103;1104
14.03.2004;15.00.00;112;1081
14.03.2004;16.00.00;170;974
14.03.2004;17.00.00;180;943
14.03.2004;18.00.00;160;929
14.03.2004;19.00.00;261;753
14.03.2004;20.00.00;325;681
14.03.2004;21.00.00;217;784
14.03.2004;22.00.00;146;924
14.03.2004;23.00.00;152;933
15.03.2004;00.00.00;104;985
15.03.2004;01.00.00;106;1010
15.03.2004;02.00.00;108;998
15.03.2004;03.00.00;-200;1128
15.03.2004;04.00.00;66;1150
15.03.2004;05.00.00;88;1156
15.03.2004;06.00.00;138;1030
15.03.2004;07.00.00;228;897
15.03.2004;08.00.00;360;652
15.03.2004;09.00.00;478;537
15.03.2004;10.00.00;394;622
15.03.2004;11.00.00;319;710
15.03.2004;12.00.00;201;831
15.03.2004;13.00.00;171;830
15.03.2004;14.00.00;159;838
15.03.2004;15.00.00;153;926
15.03.2004;16.00.00;143;950
15.03.2004;17.00.00;156;857
15.03.2004;18.00.00;314;631
15.03.2004;19.00.00;404;542
15.03.2004;20.00.00;320;565
15.03.2004;21.00.00;256;678
15.03.2004;22.00.00;193;764
15.03.2004;23.00.00;89;1008
16.03.2004;00.00.00;127;852
16.03.2004;01.00.00;79;1098
16.03.2004;02.00.00;43;1320
16.03.2004;03.00.00;-200;1376
16.03.2004;04.00.00;59;1316
16.03.2004;05.00.00;38;1412
16.03.2004;06.00.00;82;1246
16.03.2004;07.00.00;99;1162
16.03.2004;08.00.00;263;770
16.03.2004;09.00.00;229;698
16.03.2004;10.00.00;396;628
16.03.2004;11.00.00;314;730
16.03.2004;12.00.00;217;776
16.03.2004;13.00.00;252;724
16.03.2004;14.00.00;263;773
16.03.2004;15.00.00;180;893
16.03.2004;16.00.00;184;905
16.03.2004;17.00.00;190;898
16.03.2004;18.00.00;184;859
16.03.2004;19.00.00;181;800
16.03.2004;20.00.00;166;854
16.03.2004;21.00.00;317;700
16.03.2004;22.00.00;184;818
16.03.2004;23.00.00;130;935
17.03.2004;00.00.00;132;922
17.03.2004;01.00.00;95;1066
17.03.2004;02.00.00;70;1169
17.03.2004;03.00.00;-200;1292
17.03.2004;04.00.00;54;1396
17.03.2004;05.00.00;28;1460
17.03.2004;06.00.00;46;1417
17.03.2004;07.00.00;160;1038
17.03.2004;08.00.00;320;702
17.03.2004;09.00.00;377;553
17.03.2004;10.00.00;280;703
17.03.2004;11.00.00;221;819
17.03.2004;12.00.00;210;905
17.03.2004;13.00.00;204;861
17.03.2004;14.00.00;161;887
17.03.2004;15.00.00;135;1013
17.03.2004;16.00.00;186;940
17.03.2004;17.00.00;147;1032
17.03.2004;18.00.00;299;793
17.03.2004;19.00.00;411;617
17.03.2004;20.00.00;347;597
17.03.2004;21.00.00;336;653
17.03.2004;22.00.00;202;770
17.03.2004;23.00.00;178;731
18.03.2004;00.00.00;154;796
18.03.2004;01.00.00;92;947
18.03.2004;02.00.00;61;1057
18.03.2004;03.00.00;-200;1196
18.03.2004;04.00.00;60;1260
18.03.2004;05.00.00;37;1293
18.03.2004;06.00.00;68;1251
18.03.2004;07.00.00;139;1005
18.03.2004;08.00.00;339;667
18.03.2004;09.00.00;421;541
18.03.2004;10.00.00;349;686
18.03.2004;11.00.00;224;831
18.03.2004;12.00.00;171;899
18.03.2004;13.00.00;149;891
18.03.2004;14.00.00;137;901
18.03.2004;15.00.00;149;934
18.03.2004;16.00.00;172;822
18.03.2004;17.00.00;166;873
18.03.2004;18.00.00;214;764
18.03.2004;19.00.00;280;683
18.03.2004;20.00.00;276;684
18.03.2004;21.00.00;178;814
18.03.2004;22.00.00;129;885
18.03.2004;23.00.00;95;948
19.03.2004;00.00.00;126;918
19.03.2004;01.00.00;103;1021
19.03.2004;02.00.00;48;1229
19.03.2004;03.00.00;-200;1382
19.03.2004;04.00.00;20;1440
19.03.2004;05.00.00;18;1620
19.03.2004;06.00.00;56;1373
19.03.2004;07.00.00;115;1054
19.03.2004;08.00.00;320;671
19.03.2004;09.00.00;357;575
19.03.2004;10.00.00;253;701
19.03.2004;11.00.00;218;759
19.03.2004;12.00.00;192;813
19.03.2004;13.00.00;176;793
19.03.2004;14.00.00;198;771
19.03.2004;15.00.00;212;724
19.03.2004;16.00.00;249;708
19.03.2004;17.00.00;270;690
19.03.2004;18.00.00;231;704
19.03.2004;19.00.00;251;677
19.03.2004;20.00.00;210;698
19.03.2004;21.00.00;249;748
19.03.2004;22.00.00;143;904
19.03.2004;23.00.00;127;948
20.03.2004;00.00.00;104;1064
20.03.2004;01.00.00;86;1105
20.03.2004;02.00.00;74;1182
20.03.2004;03.00.00;-200;1252
20.03.2004;04.00.00;44;1308
20.03.2004;05.00.00;42;1260
20.03.2004;06.00.00;63;1317
