Date;Time;PT08.S5(O3)
10.03.2004;18.00.00;1268
10.03.2004;19.00.00;972
10.03.2004;20.00.00;1074
10.03.2004;21.00.00;1203
10.03.2004;22.00.00;1110
10.03.2004;23.00.00;949
11.03.2004;00.00.00;733
11.03.2004;01.00.00;730
11.03.2004;02.00.00;620
11.03.2004;03.00.00;501
11.03.2004;04.00.00;445
11.03.2004;05.00.00;422
11.03.2004;06.00.00;472
11.03.2004;07.00.00;730
11.03.2004;08.00.00;1102
11.03.2004;09.00.00;1028
11.03.2004;10.00.00;860
11.03.2004;11.00.00;671
11.03.2004;12.00.00;664
11.03.2004;13.00.00;799
11.03.2004;14.00.00;1037
11.03.2004;15.00.00;946
11.03.2004;16.00.00;957
11.03.2004;17.00.00;1104
11.03.2004;18.00.00;1409
11.03.2004;19.00.00;1704
11.03.2004;20.00.00;1654
11.03.2004;21.00.00;1285
11.03.2004;22.00.00;821
11.03.2004;23.00.00;552
12.03.2004;00.00.00;816
12.03.2004;01.00.00;832
12.03.2004;02.00.00;692
12.03.2004;03.00.00;512
12.03.2004;04.00.00;384
12.03.2004;05.00.00;394
12.03.2004;06.00.00;487
12.03.2004;07.00.00;748
12.03.2004;08.00.00;1400
12.03.2004;09.00.00;1588
12.03.2004;10.00.00;1237
12.03.2004;11.00.00;1167
12.03.2004;12.00.00;959
12.03.2004;13.00.00;983
12.03.2004;14.00.00;1061
12.03.2004;15.00.00;1139
12.03.2004;16.00.00;1112
12.03.2004;17.00.00;994
12.03.2004;18.00.00;1410
12.03.2004;19.00.00;1448
12.03.2004;20.00.00;1887
12.03.2004;21.00.00;1627
12.03.2004;22.00.00;1491
12.03.2004;23.00.00;1657
13.03.2004;00.00.00;1285
13.03.2004;01.00.00;1144
13.03.2004;02.00.00;1043
13.03.2004;03.00.00;996
13.03.2004;04.00.00;992
13.03.2004;05.00.00;819
13.03.2004;06.00.00;835
13.03.2004;07.00.00;940
13.03.2004;08.00.00;1192
13.03.2004;09.00.00;1411
13.03.2004;10.00.00;1465
13.03.2004;11.00.00;1583
13.03.2004;12.00.00;1387
13.03.2004;13.00.00;1101
13.03.2004;14.00.00;850
13.03.2004;15.00.00;947
13.03.2004;16.00.00;1078
13.03.2004;17.00.00;1084
13.03.2004;18.00.00;1395
13.03.2004;19.00.00;1612
13.03.2004;20.00.00;1697
13.03.2004;21.00.00;1886
13.03.2004;22.00.00;1624
13.03.2004;23.00.00;1536
14.03.2004;00.00.00;1535
14.03.2004;01.00.00;1530
14.03.2004;02.00.00;1337
14.03.2004;03.00.00;1278
14.03.2004;04.00.00;1051
14.03.2004;05.00.00;929
14.03.2004;06.00.00;872
14.03.2004;07.00.00;853
14.03.2004;08.00.00;959
14.03.2004;09.00.00;1093
14.03.2004;10.00.00;1225
14.03.2004;11.00.00;1355
14.03.2004;12.00.00;1262
14.03.2004;13.00.00;980
14.03.2004;14.00.00;872
14.03.2004;15.00.00;900
14.03.2004;16.00.00;1099
14.03.2004;17.00.00;1206
14.03.2004;18.00.00;1262
14.03.2004;19.00.00;1698
14.03.2004;20.00.00;1905
14.03.2004;21.00.00;1648
14.03.2004;22.00.00;1423
14.03.2004;23.00.00;1349
15.03.2004;00.00.00;1250
15.03.2004;01.00.00;1174
15.03.2004;02.00.00;1149
15.03.2004;03.00.00;1021
15.03.2004;04.00.00;1013
15.03.2004;05.00.00;1010
15.03.2004;06.00.00;1083
15.03.2004;07.00.00;1235
15.03.2004;08.00.00;1680
15.03.2004;09.00.00;2184
15.03.2004;10.00.00;1973
15.03.2004;11.00.00;1798
15.03.2004;12.00.00;1522
15.03.2004;13.00.00;1404
15.03.2004;14.00.00;1263
15.03.2004;15.00.00;1137
15.03.2004;16.00.00;1068
15.03.2004;17.00.00;1252
15.03.2004;18.00.00;1843
15.03.2004;19.00.00;2122
15.03.2004;20.00.00;1992
15.03.2004;21.00.00;1707
15.03.2004;22.00.00;1494
15.03.2004;23.00.00;1164
16.03.2004;00.00.00;1272
16.03.2004;01.00.00;1040
16.03.2004;02.00.00;867
16.03.2004;03.00.00;826
16.03.2004;04.00.00;840
16.03.2004;05.00.00;793
16.03.2004;06.00.00;870
16.03.2004;07.00.00;930
16.03.2004;08.00.00;1407
16.03.2004;09.00.00;1507
16.03.2004;10.00.00;1843
16.03.2004;11.00.00;1729
16.03.2004;12.00.00;1583
16.03.2004;13.00.00;1671
16.03.2004;14.00.00;1491
16.03.2004;15.00.00;1240
16.03.2004;16.00.00;1313
16.03.2004;17.00.00;1363
16.03.2004;18.00.00;1296
16.03.2004;19.00.00;1432
16.03.2004;20.00.00;1432
16.03.2004;21.00.00;2034
16.03.2004;22.00.00;1602
16.03.2004;23.00.00;1362
17.03.2004;00.00.00;1314
17.03.2004;01.00.00;1114
17.03.2004;02.00.00;992
17.03.2004;03.00.00;884
17.03.2004;04.00.00;808
17.03.2004;05.00.00;667
17.03.2004;06.00.00;733
17.03.2004;07.00.00;1052
17.03.2004;08.00.00;1534
17.03.2004;09.00.00;1931
17.03.2004;10.00.00;1734
17.03.2004;11.00.00;1595
17.03.2004;12.00.00;1490
17.03.2004;13.00.00;1508
17.03.2004;14.00.00;1334
17.03.2004;15.00.00;1045
17.03.2004;16.00.00;1221
17.03.2004;17.00.00;1069
17.03.2004;18.00.00;1569
17.03.2004;19.00.00;2306
17.03.2004;20.00.00;2359
17.03.2004;21.00.00;2050
17.03.2004;22.00.00;1727
17.03.2004;23.00.00;1705
18.03.2004;00.00.00;1551
18.03.2004;01.00.00;1240
18.03.2004;02.00.00;1115
18.03.2004;03.00.00;969
18.03.2004;04.00.00;925
18.03.2004;05.00.00;828
18.03.2004;06.00.00;893
18.03.2004;07.00.00;1075
18.03.2004;08.00.00;1610
18.03.2004;09.00.00;2051
18.03.2004;10.00.00;1819
18.03.2004;11.00.00;1568
18.03.2004;12.00.00;1374
18.03.2004;13.00.00;1268
18.03.2004;14.00.00;1144
18.03.2004;15.00.00;1109
18.03.2004;16.00.00;1347
18.03.2004;17.00.00;1206
18.03.2004;18.00.00;1397
18.03.2004;19.00.00;1588
18.03.2004;20.00.00;1569
18.03.2004;21.00.00;1322
18.03.2004;22.00.00;1194
18.03.2004;23.00.00;1062
19.03.2004;00.00.00;1040
19.03.2004;01.00.00;917
19.03.2004;02.00.00;594
19.03.2004;03.00.00;430
19.03.2004;04.00.00;397
19.03.2004;05.00.00;370
19.03.2004;06.00.00;438
19.03.2004;07.00.00;704
19.03.2004;08.00.00;1476
19.03.2004;09.00.00;1716
19.03.2004;10.00.00;1398
19.03.2004;11.00.00;1268
19.03.2004;12.00.00;1188
19.03.2004;13.00.00;1171
19.03.2004;14.00.00;1250
19.03.2004;15.00.00;1344
19.03.2004;16.00.00;1378
19.03.2004;17.00.00;1435
19.03.2004;18.00.00;1372
19.03.2004;19.00.00;1471
19.03.2004;20.00.00;1439
19.03.2004;21.00.00;1429
19.03.2004;22.00.00;1081
