Date;Time;PT08.S2(NMHC)
10.03.2004;18.00.00;1046
10.03.2004;19.00.00;955
10.03.2004;20.00.00;939
10.03.2004;21.00.00;948
10.03.2004;22.00.00;836
10.03.2004;23.00.00;750
11.03.2004;00.00.00;690
11.03.2004;01.00.00;672
11.03.2004;02.00.00;609
11.03.2004;03.00.00;561
11.03.2004;04.00.00;527
11.03.2004;05.00.00;512
11.03.2004;06.00.00;553
11.03.2004;07.00.00;667
11.03.2004;08.00.00;900
11.03.2004;09.00.00;960
11.03.2004;10.00.00;827
11.03.2004;11.00.00;762
11.03.2004;12.00.00;774
11.03.2004;13.00.00;869
11.03.2004;14.00.00;1034
11.03.2004;15.00.00;933
11.03.2004;16.00.00;912
11.03.2004;17.00.00;1020
11.03.2004;18.00.00;1319
11.03.2004;19.00.00;1488
11.03.2004;20.00.00;1404
11.03.2004;21.00.00;1076
11.03.2004;22.00.00;749
11.03.2004;23.00.00;629
12.03.2004;00.00.00;805
12.03.2004;01.00.00;829
12.03.2004;02.00.00;718
12.03.2004;03.00.00;574
12.03.2004;04.00.00;506
12.03.2004;05.00.00;501
12.03.2004;06.00.00;571
12.03.2004;07.00.00;730
12.03.2004;08.00.00;1236
12.03.2004;09.00.00;1353
12.03.2004;10.00.00;1118
12.03.2004;11.00.00;1037
12.03.2004;12.00.00;986
12.03.2004;13.00.00;1016
12.03.2004;14.00.00;1078
12.03.2004;15.00.00;1122
12.03.2004;16.00.00;1073
12.03.2004;17.00.00;1041
12.03.2004;18.00.00;1277
12.03.2004;19.00.00;1246
12.03.2004;20.00.00;1610
12.03.2004;21.00.00;1299
12.03.2004;22.00.00;1127
12.03.2004;23.00.00;1346
13.03.2004;00.00.00;964
13.03.2004;01.00.00;873
13.03.2004;02.00.00;782
13.03.2004;03.00.00;783
13.03.2004;04.00.00;821
13.03.2004;05.00.00;625
13.03.2004;06.00.00;646
13.03.2004;07.00.00;770
13.03.2004;08.00.00;1043
13.03.2004;09.00.00;1153
13.03.2004;10.00.00;1081
13.03.2004;11.00.00;1184
13.03.2004;12.00.00;1117
13.03.2004;13.00.00;1059
13.03.2004;14.00.00;924
13.03.2004;15.00.00;947
13.03.2004;16.00.00;987
13.03.2004;17.00.00;1000
13.03.2004;18.00.00;1163
13.03.2004;19.00.00;1286
13.03.2004;20.00.00;1274
13.03.2004;21.00.00;1247
13.03.2004;22.00.00;1089
13.03.2004;23.00.00;1010
14.03.2004;00.00.00;1013
14.03.2004;01.00.00;1045
14.03.2004;02.00.00;925
14.03.2004;03.00.00;968
14.03.2004;04.00.00;773
14.03.2004;05.00.00;691
14.03.2004;06.00.00;618
14.03.2004;07.00.00;615
14.03.2004;08.00.00;722
14.03.2004;09.00.00;828
14.03.2004;10.00.00;923
