Date;Time;T;RH;AH
10.03.2004;18.00.00;13,6;48,9;0,7578
10.03.2004;19.00.00;13,3;47,7;0,7255
10.03.2004;20.00.00;11,9;54;0,7502
10.03.2004;21.00.00;11;60;0,7867
10.03.2004;22.00.00;11,2;59,6;0,7888
10.03.2004;23.00.00;11,2;59,2;0,7848
11.03.2004;00.00.00;11,3;56,8;0,7603
11.03.2004;01.00.00;10,7;60;0,7702
11.03.2004;02.00.00;10,7;59,7;0,7648
11.03.2004;03.00.00;10,3;60,2;0,7517
11.03.2004;04.00.00;10,1;60,5;0,7465
11.03.2004;05.00.00;11;56,2;0,7366
11.03.2004;06.00.00;10,5;58,1;0,7353
11.03.2004;07.00.00;10,2;59,6;0,7417
11.03.2004;08.00.00;10,8;57,4;0,7408
11.03.2004;09.00.00;10,5;60,6;0,7691
11.03.2004;10.00.00;10,8;58,4;0,7552
11.03.2004;11.00.00;10,5;57,9;0,7352
11.03.2004;12.00.00;9,5;66,8;0,7951
11.03.2004;13.00.00;8,3;76,4;0,8393
11.03.2004;14.00.00;8;81,1;0,8736
11.03.2004;15.00.00;8,3;79,8;0,8778
11.03.2004;16.00.00;9,7;71,2;0,8569
11.03.2004;17.00.00;9,8;67,6;0,8185
11.03.2004;18.00.00;10,3;64,2;0,8065
11.03.2004;19.00.00;9,7;69,3;0,8319
11.03.2004;20.00.00;9,6;67,8;0,8133
11.03.2004;21.00.00;9,1;64;0,7419
11.03.2004;22.00.00;8,2;63,4;0,6905
11.03.2004;23.00.00;8,2;60,8;0,6657
12.03.2004;00.00.00;8,3;58,5;0,6438
12.03.2004;01.00.00;7,7;59,7;0,6308
12.03.2004;02.00.00;7,1;61,8;0,6276
12.03.2004;03.00.00;7;62,3;0,6261
12.03.2004;04.00.00;6,1;65,9;0,6248
12.03.2004;05.00.00;6,3;65;0,6233
12.03.2004;06.00.00;6,8;62,9;0,6234
12.03.2004;07.00.00;6,4;65,1;0,6316
12.03.2004;08.00.00;7,3;63,1;0,6499
12.03.2004;09.00.00;9,2;56,2;0,6561
12.03.2004;10.00.00;13,2;41,7;0,632
12.03.2004;11.00.00;14,3;38,4;0,6243
12.03.2004;12.00.00;15;36,5;0,6195
12.03.2004;13.00.00;16,1;34,5;0,6262
12.03.2004;14.00.00;16,3;35,7;0,656
12.03.2004;15.00.00;15,8;37;0,661
12.03.2004;16.00.00;15,9;37,2;0,6657
12.03.2004;17.00.00;16,9;34,3;0,6549
12.03.2004;18.00.00;15,1;39,6;0,6766
12.03.2004;19.00.00;14,4;43,4;0,7084
12.03.2004;20.00.00;12,9;50,5;0,7478
12.03.2004;21.00.00;12,1;53,3;0,7536
12.03.2004;22.00.00;11;59,1;0,774
12.03.2004;23.00.00;9,7;64,6;0,7771
13.03.2004;00.00.00;9,5;64,1;0,7597
13.03.2004;01.00.00;9,1;63,9;0,7423
13.03.2004;02.00.00;8,8;63,9;0,7256
13.03.2004;03.00.00;7,8;67,5;0,7173
13.03.2004;04.00.00;7;71,1;0,7158
13.03.2004;05.00.00;8,3;63,6;0,6982
13.03.2004;06.00.00;7,2;67,5;0,6887
13.03.2004;07.00.00;6,3;71,9;0,6932
13.03.2004;08.00.00;6,5;71,6;0,6945
13.03.2004;09.00.00;9,6;59,7;0,7124
13.03.2004;10.00.00;12,4;51,2;0,7335
13.03.2004;11.00.00;15,6;42,2;0,7451
13.03.2004;12.00.00;18,4;33,8;0,709
13.03.2004;13.00.00;19,4;31,3;0,695
13.03.2004;14.00.00;18;34,8;0,7127
13.03.2004;15.00.00;18,4;33,6;0,7042
13.03.2004;16.00.00;17,6;35,1;0,7012
13.03.2004;17.00.00;16,7;37,8;0,7117
13.03.2004;18.00.00;16,1;41;0,7451
13.03.2004;19.00.00;15,8;42,4;0,7569
13.03.2004;20.00.00;15,7;44,1;0,7786
13.03.2004;21.00.00;15,3;46,8;0,8091
13.03.2004;22.00.00;14,6;48,6;0,806
13.03.2004;23.00.00;14,7;49,3;0,8193
14.03.2004;00.00.00;13,9;53,6;0,8498
