"id";"artm";"start_time";"end_time";"result";"project"
"0";"";"2017-05-30 09:21:05.000";"2017-05-30 09:22:41.607";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"1";"";"2017-05-30 09:22:42.000";"2017-05-30 09:24:15.538";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"2";"";"2017-05-30 09:24:15.000";"2017-05-30 09:25:49.391";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"3";"";"2017-05-30 09:25:49.000";"2017-05-30 09:27:23.323";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"4";"";"2017-05-30 09:27:23.000";"2017-05-30 09:28:57.082";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"5";"";"2017-05-30 09:28:57.000";"2017-05-30 09:30:30.888";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"6";"";"2017-05-30 09:30:30.000";"2017-05-30 09:32:04.819";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"7";"";"2017-05-30 09:32:04.000";"2017-05-30 09:33:39.141";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"8";"";"2017-05-30 09:33:39.000";"2017-05-30 09:35:13.275";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"9";"";"2017-05-30 09:35:13.000";"2017-05-30 09:36:47.457";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"10";"";"2017-05-30 09:36:47.000";"2017-05-30 09:38:21.394";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"11";"";"2017-05-30 09:38:21.000";"2017-05-30 09:39:55.451";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"12";"";"2017-05-30 09:39:55.000";"2017-05-30 09:41:29.476";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"13";"";"2017-05-30 09:41:29.000";"2017-05-30 09:43:03.157";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"14";"";"2017-05-30 09:43:03.000";"2017-05-30 09:44:37.284";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"15";"";"2017-05-30 09:44:37.000";"2017-05-30 09:46:11.278";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"16";"";"2017-05-30 09:46:11.000";"2017-05-30 09:47:45.194";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"17";"";"2017-05-30 09:47:45.000";"2017-05-30 09:49:19.140";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
"18";"";"2017-05-30 09:49:19.000";"2017-05-30 09:50:53.025";"End of loop ";"PCB Assembly: Baseline (4 Resistors, no offset, no drift)"
